sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
974,958,556,906,52,882,926,724,783,794
973,958,552,906,52,883,923,733,784,795
973,958,558,906,53,883,929,737,784,799
973,958,563,906,53,883,928,747,786,816
973,958,566,907,54,883,926,752,787,809
974,957,569,906,54,883,927,754,788,801
973,958,568,906,54,882,926,757,789,794
973,958,567,907,54,883,925,754,793,792
973,958,565,905,54,883,924,761,790,782
973,957,546,906,53,882,924,761,788,696
973,958,550,906,63,882,925,772,789,683
973,958,558,907,63,882,921,775,791,671
973,958,568,906,55,882,904,755,793,669
973,958,538,908,54,883,908,779,793,535
973,958,538,907,53,883,902,794,789,185
973,959,550,904,24,884,902,794,786,6
974,958,569,904,53,885,915,783,783,490
973,958,571,905,53,884,928,791,782,733
973,958,569,905,54,882,930,800,782,801
973,958,562,906,54,883,930,803,784,807
974,958,564,906,54,883,929,808,780,771
973,959,566,906,54,883,928,809,780,707
973,959,568,906,55,884,927,810,782,731
974,959,567,907,54,883,927,817,785,737
973,958,566,907,54,883,927,826,783,740
973,959,567,906,55,884,927,831,783,737
973,959,567,907,54,884,928,834,783,750
973,959,568,907,54,884,928,833,784,759
974,959,567,907,53,884,929,834,784,764
974,959,568,907,65,884,927,836,785,759
973,959,567,907,59,884,928,840,787,740
973,959,567,907,54,884,929,845,789,730
973,959,567,907,55,885,927,847,786,712
973,959,566,907,55,884,924,848,787,679
973,959,565,907,54,884,922,851,789,623
973,959,567,907,55,885,922,853,790,616
974,958,564,907,55,885,924,855,792,598
973,959,566,906,54,885,926,857,794,564
973,959,568,907,55,885,925,862,796,570
974,959,564,907,54,885,923,864,798,453
973,959,564,907,53,884,921,867,798,381
973,959,566,907,53,883,923,869,799,250
973,959,564,907,54,883,925,871,800,178
973,959,565,907,52,884,922,875,799,155
973,960,565,907,54,884,918,874,799,170
973,959,566,906,53,885,914,874,799,234
973,959,566,907,62,885,916,874,799,318
973,959,564,906,64,885,918,875,800,415
973,959,564,907,58,886,919,875,800,516
973,959,564,907,55,886,920,876,800,497
973,959,568,906,55,886,919,877,799,537
973,959,564,906,55,886,919,878,797,551
973,959,564,906,55,886,921,878,798,569
973,959,564,907,56,887,923,880,796,618
974,959,565,906,54,886,924,882,796,629
973,959,564,907,56,886,922,882,795,632
973,959,562,906,55,887,923,884,795,638
973,959,563,906,54,887,924,884,795,642
973,959,562,906,55,887,925,885,796,644
973,958,562,906,55,887,924,886,796,654
974,959,562,906,55,887,925,887,796,660
973,959,563,907,55,887,923,889,796,637
974,959,562,906,55,887,924,889,798,629
973,959,561,905,54,887,924,890,798,604
973,959,560,906,62,888,924,891,799,604
973,959,561,907,58,888,924,893,800,601
973,959,560,907,54,888,923,891,801,560
973,958,562,907,53,887,921,887,802,545
974,959,564,906,54,888,923,886,802,556
972,959,563,907,55,887,923,886,804,553
973,959,563,907,54,887,920,887,804,566
973,959,563,907,54,888,919,887,805,540
973,959,562,907,54,888,917,891,807,472
973,959,562,907,54,887,917,892,807,319
973,959,561,907,54,887,917,893,807,265
972,959,560,907,55,888,914,894,808,277
973,959,559,908,54,887,914,895,808,284
974,959,558,908,55,888,914,897,808,239
973,959,557,908,55,887,912,898,808,105
972,959,557,907,50,888,913,898,810,5
973,959,556,907,25,888,914,900,811,5
973,959,558,907,24,889,910,901,812,6
973,959,556,908,25,889,907,901,813,7
972,959,558,907,25,888,903,903,812,6
973,959,558,907,25,887,905,904,813,7
972,959,557,907,26,886,905,906,814,5
973,959,557,908,25,886,901,907,814,7
973,959,558,907,26,887,898,907,815,6
972,959,558,907,26,885,891,908,814,6
973,959,558,907,24,885,890,909,814,6
972,959,559,907,25,884,891,911,814,6
973,959,560,907,25,884,881,912,813,5
974,959,561,906,24,885,865,914,813,5
973,959,560,906,25,885,833,914,817,5
973,959,560,907,25,885,802,914,817,6
973,959,564,906,25,885,799,914,818,5
972,959,561,907,25,885,798,916,819,6
973,959,561,906,25,886,800,916,820,5
973,959,562,906,25,887,803,917,820,6
973,959,560,907,25,887,800,918,819,5
973,959,561,907,25,887,810,918,819,6
973,959,561,907,25,888,823,919,819,6
973,959,561,907,25,888,827,919,817,5
973,959,560,907,25,888,832,919,816,5
973,959,560,906,25,889,835,920,816,6
973,959,560,907,25,888,839,921,816,5
973,959,560,907,25,889,845,920,816,5
973,959,561,907,25,888,849,921,817,6
973,959,560,907,26,888,849,921,817,5
973,959,560,906,25,889,850,921,817,5
972,960,559,907,26,888,851,921,817,6
973,959,559,908,26,889,856,921,817,5
972,960,558,907,27,889,859,922,818,5
973,959,558,907,25,890,859,921,818,6
973,959,558,907,26,889,858,922,818,5
974,959,557,907,25,890,856,923,819,5
973,959,557,907,25,890,859,923,818,6
973,959,557,907,25,890,861,923,819,6
973,959,558,907,25,890,860,923,819,6
973,960,558,907,26,889,858,924,820,6
973,959,557,908,26,889,858,923,821,7
973,959,558,907,26,890,856,924,822,7
973,958,558,908,26,890,858,924,821,6
973,960,557,907,26,889,858,924,824,7
972,959,558,907,26,889,854,925,825,6
973,959,557,907,25,889,856,925,825,7
972,960,556,907,26,889,855,926,826,5
973,959,556,907,25,889,854,925,826,5
972,960,557,907,26,888,855,926,827,6
973,959,557,907,25,888,855,926,828,5
974,959,557,907,25,888,853,926,828,6
972,959,557,907,26,888,850,927,828,6
973,959,558,907,26,887,840,926,826,5
974,959,558,908,25,887,835,927,826,5
972,960,558,907,25,888,842,927,828,6
973,960,559,907,26,887,845,927,828,6
973,959,557,908,25,888,845,927,829,5
972,960,558,907,25,888,845,928,829,6
973,959,557,907,26,888,851,928,829,5
973,959,557,908,25,889,852,928,828,6
973,960,557,907,26,889,854,929,828,6
973,959,556,907,26,889,853,928,830,6
973,959,556,907,25,890,851,928,829,5
973,960,556,906,26,890,838,928,831,6
973,959,556,908,26,890,841,928,830,5
973,959,556,907,26,890,853,928,831,6
973,959,556,907,26,890,856,928,831,5
973,959,555,907,24,890,856,928,830,5
973,959,556,907,26,890,854,928,829,6
973,959,556,908,25,890,855,927,828,5
973,959,556,908,25,891,855,927,829,5
973,960,556,907,26,891,855,927,829,6
972,960,556,907,26,891,852,927,830,6
974,959,556,907,26,892,842,927,830,6
972,959,557,907,25,892,849,927,831,5
974,959,557,907,25,892,854,927,832,6
973,959,558,907,26,892,856,927,833,6
974,959,557,908,25,892,856,927,834,6
973,960,558,907,26,892,853,927,834,6
973,959,558,908,25,891,851,927,835,6
973,959,559,907,25,892,852,928,835,6
973,959,559,907,26,891,849,927,836,7
972,960,559,907,26,891,843,928,836,6
974,959,559,907,25,890,836,928,837,5
973,959,559,908,26,890,825,928,837,6
972,960,561,907,26,890,825,928,838,6
973,959,559,907,25,891,825,927,837,6
972,960,559,908,26,892,826,928,838,6
973,960,559,908,26,891,828,927,837,5
973,959,559,908,25,892,822,927,835,5
972,960,559,907,26,892,827,927,837,6
973,960,560,908,26,892,829,927,838,5
973,959,560,908,26,892,832,927,838,5
973,960,560,907,25,892,834,927,839,6
973,960,559,908,26,892,805,927,840,5
973,959,558,908,25,891,810,926,840,5
973,959,560,908,25,892,829,927,839,5
972,960,559,908,26,891,842,927,840,5
973,959,560,909,25,891,841,926,840,5
973,959,559,908,25,892,839,926,839,5
973,959,558,908,26,892,837,926,839,5
973,960,560,908,26,892,845,926,839,5
973,959,559,908,25,892,847,926,839,5
972,960,559,908,26,892,849,926,839,5
973,959,559,908,26,893,850,926,840,6
973,959,559,908,26,893,850,926,839,5
972,960,558,907,25,893,852,926,839,6
973,959,559,908,25,893,852,925,840,5
973,960,559,908,25,893,851,925,840,6
973,959,559,908,25,893,851,925,840,5
973,959,558,908,25,893,850,925,841,6
973,960,558,907,25,893,849,925,842,6
973,959,559,908,26,893,846,925,842,5
972,959,559,908,26,893,839,925,842,6
973,960,559,908,25,893,833,925,842,6
973,960,560,908,26,893,825,925,844,5
973,959,560,908,25,892,826,925,843,5
973,960,561,908,26,891,814,924,844,5
974,959,561,907,26,891,804,925,845,6
973,959,558,908,26,890,807,925,845,6
973,960,561,909,26,891,813,924,845,6
973,959,558,908,26,891,802,925,845,6
973,960,558,909,26,891,801,925,845,5
973,959,558,908,26,892,807,926,846,6
973,959,558,908,26,892,811,925,846,6
973,960,558,909,26,891,809,925,846,5
972,960,558,907,26,892,814,926,846,6
973,959,557,908,25,892,815,925,845,6
972,960,558,908,26,893,828,926,846,5
973,959,558,908,26,893,838,925,846,6
973,960,557,908,26,894,871,918,846,6
973,959,555,907,26,894,908,902,847,6
973,959,563,904,26,895,913,897,848,6
972,960,563,905,26,895,914,896,849,6
973,960,562,905,26,895,903,898,850,5
973,960,569,903,26,896,859,897,848,5
973,961,570,904,26,896,424,897,841,5
973,960,572,904,26,897,277,894,838,5
973,960,577,904,26,901,326,886,835,5
974,960,581,904,26,902,313,880,834,5
973,960,578,905,26,903,302,883,834,6
973,961,575,905,27,902,301,883,838,6
973,960,583,906,27,902,324,881,840,6
974,960,594,906,26,903,300,868,840,5
973,960,596,906,27,903,304,864,834,6
973,960,602,906,26,899,295,864,832,5
974,960,615,908,26,899,296,856,844,6
973,961,603,907,26,900,293,852,845,6
974,960,599,908,26,904,290,850,844,5
974,961,600,908,26,905,289,847,842,5
973,961,601,908,25,905,293,835,844,5
974,961,600,908,25,904,285,829,841,6
974,961,606,907,26,902,284,834,830,5
974,961,615,903,26,904,285,826,835,5
974,960,634,902,25,905,289,828,840,5
974,961,633,902,27,906,295,823,837,5
974,960,631,904,26,907,272,822,835,5
975,961,630,905,26,908,263,823,836,5
975,961,609,906,26,907,263,825,840,5
975,961,599,905,26,906,253,838,842,6
975,961,595,906,26,906,255,844,842,6
975,961,589,907,26,906,256,846,843,5
975,961,585,907,26,906,270,847,844,6
975,961,588,908,26,906,258,842,844,6
976,961,583,907,26,905,260,828,845,6
975,960,577,909,26,902,270,784,845,6
975,961,583,908,26,901,287,779,844,6
975,961,584,908,26,898,269,787,840,6
975,960,584,908,26,895,274,790,845,6
975,960,588,908,26,893,272,792,848,5
975,960,571,909,26,894,280,784,849,6
975,960,574,910,26,893,280,786,846,5
975,960,584,909,26,894,283,779,844,5
975,962,596,910,26,894,281,779,845,5
975,960,583,910,27,892,271,775,845,5
976,960,581,910,26,891,266,772,845,6
975,960,584,909,26,892,283,768,846,6
974,961,580,910,27,892,250,770,847,5
975,960,580,910,26,893,278,774,848,5
974,961,579,910,26,895,271,774,847,6
975,960,584,911,26,894,273,771,845,5
975,961,589,911,26,897,287,770,845,5
975,961,593,911,26,897,295,766,845,6
975,961,599,911,26,897,298,758,845,6
975,961,598,912,26,898,296,755,844,5
975,961,589,912,26,899,275,747,847,6
975,961,594,912,26,899,274,743,847,5
975,960,602,912,26,899,271,737,848,5
975,961,600,912,26,899,294,731,848,5
975,961,602,912,25,898,297,731,848,6
975,961,601,912,26,896,273,724,848,5
975,961,600,912,25,896,267,706,846,6
