sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
937,971,812,930,515,920,926,950,727,607
937,971,812,931,513,920,924,950,727,606
934,971,810,931,552,920,924,950,728,614
934,970,809,930,554,921,925,950,719,609
933,971,809,930,553,920,927,951,721,594
933,971,810,931,551,920,928,950,726,613
933,971,809,930,552,921,928,950,721,638
934,970,810,930,546,921,929,951,717,627
933,971,811,930,546,920,930,951,718,639
934,970,810,930,546,921,930,949,715,632
936,971,812,930,517,921,931,950,717,631
934,971,811,931,543,921,931,949,720,649
934,971,811,930,539,921,933,949,723,648
934,970,811,930,543,922,933,949,716,651
934,971,811,930,545,921,932,950,720,663
934,971,811,930,548,921,933,949,722,657
934,971,811,930,540,921,930,950,721,661
935,971,811,930,537,921,927,949,720,679
935,971,812,930,534,921,922,949,725,692
934,971,811,930,543,921,923,949,725,719
934,971,811,930,540,920,924,949,719,695
933,972,811,931,545,920,926,950,725,726
934,971,812,930,546,920,923,949,734,737
934,971,811,930,545,920,925,950,721,685
933,971,812,930,547,920,927,950,720,686
934,971,812,930,545,919,928,949,718,696
934,971,811,930,544,920,928,950,714,700
934,971,812,930,544,920,929,950,716,688
934,971,812,930,544,921,930,950,717,689
933,970,812,930,541,920,932,950,713,613
934,971,811,929,544,920,931,951,721,581
933,971,807,929,545,920,931,952,713,620
931,970,804,928,500,920,921,952,707,647
931,969,804,929,510,920,930,951,718,613
930,967,803,929,507,920,904,952,712,609
929,968,804,931,509,920,886,952,710,612
931,967,806,930,475,922,886,953,728,594
931,967,807,930,509,921,873,951,756,606
931,966,807,931,500,921,848,950,768,671
932,967,807,931,499,922,832,949,762,664
931,967,807,930,496,921,864,950,760,737
931,966,807,930,497,921,874,949,757,781
931,967,806,927,494,921,875,949,751,788
930,967,805,928,493,920,859,950,720,798
930,968,804,925,493,918,874,950,685,792
930,968,804,925,497,917,876,950,696,817
930,967,804,925,494,917,882,951,695,820
930,968,805,926,496,916,883,951,697,824
930,968,807,926,502,915,890,950,697,828
930,967,805,927,505,914,874,951,699,842
930,968,805,927,498,913,861,950,712,821
930,968,805,928,497,911,879,949,731,826
930,967,805,927,507,910,900,949,722,825
929,968,805,927,467,909,904,949,727,821
933,969,807,926,464,908,907,949,712,845
928,970,803,922,514,900,917,951,694,851
928,970,804,924,510,897,926,951,693,863
927,970,803,924,512,890,933,952,705,875
927,971,804,925,513,891,935,953,676,877
928,970,804,922,509,892,936,953,672,878
928,971,804,923,509,893,939,953,692,882
927,971,804,923,509,891,949,954,642,876
926,971,803,922,504,891,946,958,665,873
926,972,805,925,511,894,947,960,675,871
927,970,804,925,512,895,948,960,658,866
927,970,805,926,510,898,948,961,660,860
927,969,805,926,507,899,948,962,662,858
923,969,846,927,511,901,943,962,659,854
926,969,806,925,506,904,939,962,667,847
928,969,807,926,493,904,933,962,678,841
929,968,807,926,505,906,930,961,682,841
932,969,807,926,506,906,929,963,679,847
928,969,807,926,504,906,929,964,683,845
929,969,808,927,503,907,928,962,685,847
928,969,808,926,501,907,927,962,680,847
928,968,808,927,503,906,924,963,696,842
929,968,808,927,500,907,922,961,685,847
928,967,807,925,504,909,920,962,696,844
929,967,807,925,501,910,919,962,705,843
928,966,808,926,501,910,913,961,702,844
928,967,807,925,501,911,905,961,713,846
928,967,807,925,492,912,906,962,722,847
929,966,808,926,493,912,902,961,742,855
929,966,808,926,495,913,907,961,750,857
928,967,809,925,495,913,907,962,752,859
929,966,808,925,495,913,905,961,756,863
928,967,808,926,493,915,901,961,761,862
929,966,808,926,493,914,899,959,779,807
929,966,809,925,492,914,904,960,783,791
929,966,808,926,493,916,910,959,779,818
928,966,809,926,493,915,912,960,770,832
930,968,809,925,496,915,922,958,757,847
929,967,809,924,494,918,925,957,756,559
928,969,810,923,503,919,909,958,728,562
929,967,810,924,511,919,903,956,733,599
930,967,814,924,465,918,890,957,752,672
929,967,808,928,500,915,878,956,791,821
928,965,809,929,483,913,814,956,789,847
928,965,809,928,485,913,782,956,783,847
929,965,810,929,467,913,798,956,774,858
928,965,808,929,481,914,859,955,758,861
928,966,808,929,433,913,862,956,729,861
928,966,808,926,473,911,883,956,702,855
929,965,808,926,479,911,860,957,709,864
928,966,811,927,480,911,871,958,712,867
928,965,808,927,485,911,879,957,716,856
928,966,807,926,486,911,866,957,726,862
929,965,808,927,472,912,876,956,726,872
929,966,808,927,477,912,876,955,734,876
929,965,808,927,478,911,886,955,736,879
929,966,808,929,478,912,886,956,734,879
929,966,809,929,478,914,897,956,738,875
929,965,809,929,472,917,910,956,741,874
929,965,811,929,441,917,914,958,742,879
931,964,811,930,476,917,914,957,745,877
930,964,811,930,475,918,910,957,742,868
929,965,811,930,473,916,905,956,744,868
930,965,810,928,474,917,905,956,757,871
929,965,811,927,472,916,901,954,759,870
929,966,811,928,470,916,901,955,760,871
929,966,811,929,440,915,897,955,754,875
930,965,811,930,489,915,895,954,759,877
929,965,809,930,491,916,892,954,751,876
928,966,810,930,500,915,884,954,736,877
928,965,810,930,501,915,879,954,740,878
927,965,809,929,508,916,881,955,742,874
928,965,809,929,509,915,871,954,725,871
927,965,809,928,507,916,853,955,737,871
927,965,809,929,503,916,871,954,739,865
927,966,810,930,505,916,876,956,747,867
928,965,810,931,510,916,876,954,752,868
928,965,809,930,509,917,820,954,750,877
927,966,809,930,517,916,788,955,721,867
928,965,810,930,512,915,788,955,713,866
927,965,810,929,508,916,779,955,708,859
927,966,810,930,509,915,780,956,706,860
927,967,810,929,506,916,784,956,714,867
927,966,810,929,507,915,781,955,721,872
927,966,809,929,507,914,789,956,722,873
927,965,809,929,509,914,791,955,718,872
927,966,810,929,507,914,787,955,723,872
927,966,810,930,512,915,777,956,731,869
928,966,810,930,511,915,778,954,733,876
927,965,810,929,512,916,776,955,737,881
927,966,810,929,511,914,804,956,736,885
927,966,810,930,512,914,836,955,728,884
927,967,809,929,514,915,870,955,721,891
926,966,809,930,513,916,889,955,723,888
926,966,809,930,514,915,897,956,725,893
927,966,809,929,512,914,911,957,726,895
926,966,809,927,512,912,918,957,720,895
926,966,810,928,511,913,920,957,721,893
927,965,809,928,512,913,920,958,722,890
926,966,809,929,510,912,918,958,721,891
926,965,810,929,512,912,917,959,725,893
926,966,809,929,514,912,917,959,723,895
927,965,809,929,513,912,915,958,717,896
926,966,810,929,515,912,911,959,713,894
927,965,809,927,515,912,909,959,713,894
926,966,811,929,516,912,902,959,710,893
926,965,811,929,512,912,909,959,696,888
926,966,811,930,515,912,905,960,711,880
926,966,811,930,512,912,900,959,724,876
927,965,812,930,513,913,897,958,716,872
927,966,811,929,519,917,870,958,731,875
926,966,812,931,518,917,855,958,764,820
927,965,812,928,518,919,883,957,764,723
926,966,813,924,523,919,871,954,754,732
927,966,813,925,521,919,869,955,729,675
926,965,812,921,520,919,893,953,741,627
926,966,812,920,531,920,884,955,763,746
927,966,813,923,527,920,879,956,745,793
927,966,813,924,535,919,883,956,730,834
927,965,813,923,535,920,898,957,720,864
926,966,813,923,525,918,905,958,700,876
927,965,812,924,523,918,905,957,707,880
926,966,813,924,528,919,903,958,716,867
927,965,812,925,527,919,905,957,715,869
926,965,812,926,528,919,899,956,712,868
926,965,812,925,525,919,887,956,717,880
926,966,813,927,529,917,891,956,722,873
927,965,813,927,528,917,880,955,718,885
927,965,812,927,530,917,858,955,731,892
927,966,813,928,529,917,830,955,748,887
927,965,813,927,528,917,838,955,748,882
927,965,813,925,529,916,811,955,742,877
927,965,813,927,533,916,797,956,734,877
927,965,813,926,533,916,804,956,735,875
927,965,812,926,532,916,823,956,721,872
926,966,813,926,533,916,839,957,719,881
927,966,813,926,534,915,839,956,727,878
927,965,812,926,534,918,856,957,720,873
927,965,813,929,528,920,880,957,716,866
927,965,813,930,524,920,888,957,709,861
927,964,813,931,523,920,879,955,755,862
927,965,813,929,528,921,870,952,798,877
927,966,813,926,530,919,772,948,805,884
927,966,813,923,531,918,825,950,776,893
928,965,813,924,533,916,890,953,753,892
926,965,825,925,537,915,896,954,766,885
927,966,825,928,540,915,873,953,784,867
927,966,824,928,534,913,857,954,787,872
926,966,824,930,537,913,860,953,778,865
926,967,823,930,541,913,856,952,779,872
927,967,824,930,542,913,861,952,774,878
927,967,823,929,542,914,856,952,753,874
927,967,823,930,543,915,871,953,714,856
927,967,822,930,542,914,864,954,715,850
927,967,821,930,544,915,865,952,710,853
927,968,822,930,542,914,868,952,719,858
928,967,821,929,542,914,882,953,726,855
927,967,821,930,541,913,874,953,730,860
927,968,821,929,543,913,866,952,729,857
928,968,822,930,543,914,864,952,728,859
927,967,821,929,544,914,874,951,732,860
927,968,821,931,543,913,878,952,734,862
928,968,820,930,544,914,880,952,734,865
928,967,820,931,543,914,881,951,732,868
927,968,820,931,543,914,884,952,739,869
928,968,819,931,545,914,888,951,734,867
928,968,819,930,544,914,888,951,737,865
928,968,819,931,545,914,885,951,731,865
928,968,818,931,545,915,887,951,730,868
928,967,818,931,544,915,891,951,731,868
927,968,818,931,545,915,893,951,729,871
928,968,818,931,543,915,893,951,727,872
928,968,817,931,543,915,893,951,725,873
928,967,817,931,544,916,894,951,725,873
928,968,817,931,544,915,895,950,730,875
928,967,817,931,544,915,896,951,729,879
928,968,816,931,545,915,897,952,723,881
928,968,816,932,545,915,897,951,722,880
928,968,816,931,545,915,898,950,724,880
928,968,816,931,541,915,898,950,733,881
928,968,817,932,527,915,898,950,732,881
928,967,816,930,543,915,899,951,717,880
928,968,815,931,539,915,899,951,719,882
928,968,814,931,543,915,894,951,722,882
928,968,813,932,544,915,893,951,723,884
928,967,814,931,543,914,888,952,722,883
928,968,813,932,543,915,881,952,723,880
928,968,813,931,543,915,883,952,729,877
928,968,813,931,544,914,886,953,731,879
928,968,812,932,544,915,887,952,732,880
928,968,813,930,543,914,889,953,730,882
