sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
904,962,763,870,681,868,880,280,186,202
904,961,762,870,680,867,880,307,194,203
904,962,763,870,682,868,877,333,176,199
904,962,765,869,682,869,877,340,165,198
905,964,764,869,682,871,877,345,197,203
905,965,763,869,681,873,878,331,188,174
907,965,761,869,680,874,877,330,205,174
905,965,761,869,677,872,876,288,192,173
906,965,762,869,675,869,876,290,198,174
903,964,759,870,678,863,875,300,167,174
901,963,758,868,678,862,876,301,171,174
900,964,759,869,678,861,877,283,168,200
901,963,758,869,680,861,875,285,159,187
902,963,758,869,681,862,875,282,157,185
901,964,759,868,681,863,875,280,159,157
902,963,760,869,683,865,873,281,151,153
902,964,760,869,683,864,872,281,144,163
902,964,760,869,682,864,872,281,144,160
903,964,760,870,683,866,872,286,157,159
904,963,760,868,682,866,872,285,154,160
903,965,760,868,681,866,872,289,151,145
902,964,760,869,683,864,870,285,141,150
902,964,759,869,683,863,869,279,146,155
901,963,759,869,683,865,868,267,168,143
902,964,761,870,683,864,868,259,156,147
902,963,759,869,682,863,868,259,139,158
901,964,759,870,684,863,867,253,127,142
901,964,758,870,684,863,865,254,136,141
902,964,759,869,684,863,864,251,136,141
901,964,759,870,684,863,865,241,137,139
902,963,760,870,683,864,865,230,142,137
903,963,760,869,685,865,864,230,150,134
902,964,762,869,684,865,864,215,73,124
903,964,762,870,684,866,865,212,71,128
903,964,762,870,685,864,865,207,33,123
901,965,758,868,686,862,864,174,31,120
901,964,757,870,685,857,863,185,19,101
899,964,756,869,684,860,863,166,24,102
899,964,759,870,681,856,861,213,42,107
899,961,759,869,681,858,862,217,66,110
899,958,760,869,681,858,861,245,80,106
900,955,762,868,681,859,861,212,69,106
899,954,761,868,680,859,861,207,69,105
900,955,762,866,676,860,858,206,71,105
900,955,761,865,667,859,858,208,70,103
900,956,762,864,658,859,858,200,72,103
900,956,762,863,663,859,856,198,69,102
902,956,762,862,661,860,856,199,70,99
901,957,762,863,663,861,856,180,67,86
901,958,763,862,665,860,856,180,67,86
901,958,763,861,651,860,856,182,65,85
902,956,763,862,656,861,855,185,69,83
901,955,763,862,656,860,854,185,71,83
901,953,763,861,649,860,855,177,69,83
901,952,763,862,648,860,854,175,68,83
901,949,762,862,646,860,853,177,69,82
902,950,760,862,635,861,851,175,69,82
902,951,760,861,638,861,851,184,70,80
902,951,760,861,645,861,852,184,68,80
901,952,762,862,641,861,852,184,71,80
903,952,761,861,643,860,850,181,70,79
903,952,761,861,648,862,852,177,69,78
902,952,761,860,648,862,853,160,70,78
902,953,762,860,651,861,852,161,70,78
902,952,762,858,647,861,849,162,70,76
902,952,760,845,655,861,849,165,69,74
902,956,757,848,672,860,849,167,69,69
901,956,759,847,674,861,849,167,70,69
901,955,757,849,670,861,850,168,69,69
901,955,759,850,671,861,848,171,68,67
901,954,759,851,671,861,846,173,65,53
901,955,758,851,664,861,846,172,66,54
901,956,759,851,663,860,845,173,64,46
901,954,760,853,664,861,845,173,65,39
901,954,760,852,660,861,845,171,63,7
901,954,760,852,659,861,846,162,65,6
901,955,761,851,660,861,845,156,63,6
901,956,761,853,661,861,843,155,63,6
901,955,760,852,662,861,842,157,65,38
901,956,761,853,662,861,842,158,64,7
901,956,760,852,661,861,842,152,64,6
901,957,761,853,661,861,841,153,65,8
901,956,761,853,662,861,841,129,64,6
901,955,760,853,662,862,841,127,65,8
901,953,761,853,669,862,842,118,64,7
901,951,761,855,673,862,842,117,62,8
901,951,762,854,675,861,840,117,61,8
901,951,762,855,675,861,841,119,61,6
902,951,761,856,675,862,840,118,62,8
902,951,761,856,676,862,839,119,62,7
901,952,760,856,675,861,840,116,61,7
901,952,759,857,678,861,838,103,61,6
902,953,759,857,677,862,839,104,62,7
901,954,762,857,679,861,839,104,62,6
902,954,761,858,679,859,836,113,61,6
